Player,BODY FAT,HEIGHT_NO_SHOES,STANDING_REACH,WEIGHT,WINGSPAN,Year
Tony Mitchell,5.55%,79.5,8' 10.5'',236.4,86.5,2013
Shabazz Muhammad,9.00%,76.75,8' 8.5'',221.8,83.0,2013
Erik Murphy,7.95%,80.75,9' 0'',239.8,82.5,2013
Mike Muscala,6.80%,82.25,9' 0'',230.2,85.0,2013
Nerlens Noel,4.15%,82.0,9' 2'',206.4,87.75,2013
Victor Oladipo,6.55%,75.25,8' 4.5'',213.2,81.25,2013
Kelly Olynyk,6.65%,82.75,9' 0'',234.0,81.75,2013
Brandon Paul,5.25%,74.75,8' 2'',201.0,82.25,2013
Norvel Pelle,5.15%,81.5,9' 1'',207.2,86.5,2013
Mason Plumlee,6.15%,83.25,9' 0'',238.2,83.0,2013
Otto Porter,6.65%,79.5,8' 9.5'',197.6,85.5,2013
Phil Pressey,4.70%,69.5,7' 8'',177.0,74.25,2013
Glen Rice,8.45%,76.5,8' 5.5'',210.8,81.25,2013
Andre Roberson,7.05%,78.25,8' 8.5'',205.8,83.0,2013
Dennis Schroder,4.10%,73.0,8' 2'',164.8,79.75,2013
Peyton Siva,6.05%,71.5,7' 9'',180.6,75.0,2013
Tony Snell,4.85%,78.0,8' 9.5'',198.2,83.5,2013
James Southerland,8.05%,79.0,8' 10'',220.6,85.0,2013
Deshaun Thomas,9.10%,77.0,8' 8'',219.8,82.0,2013
Adonis Thomas,7.50%,76.75,8' 3'',231.8,85.0,2013
Jeff Withey,8.65%,82.75,9' 2.5'',221.8,86.0,2013
Nate Wolters,5.50%,75.5,8' 2'',196.4,75.75,2013
BJ Young,4.70%,74.25,8' 3'',178.8,80.25,2013
Cody Zeller,4.75%,82.75,8' 10'',230.0,82.75,2013
Jordan Adams,10.80%,75.5,8' 6'',208.8,82.0,2014
Kyle Anderson,13.35%,79.5,8' 11.5'',230.1,86.75,2014
Thanasis Antetokounmpo,6.05%,77.25,8' 8.5'',205.2,84.0,2014
Jordan Bachynski,7.45%,85.25,9' 0.5'',254.1,88.0,2014
Cameron Bairstow,8.70%,80.75,8' 11'',252.4,84.75,2014
Khem Birch,6.00%,79.5,8' 11'',208.8,85.0,2014
Jabari Brown,6.05%,75.0,8' 4'',201.9,80.25,2014
Markel Brown,4.20%,74.5,8' 4'',184.4,80.75,2014
Alec Brown,7.70%,84.25,9' 1'',231.2,85.5,2014
Deonte Burton,7.65%,72.0,8' 1.5'',192.8,79.0,2014
Semaj Christon,5.25%,73.5,8' 3'',186.0,78.5,2014
Jordan Clarkson,4.30%,75.25,8' 2'',186.3,80.0,2014
Aaron Craft,6.10%,72.75,7' 10.5'',191.6,74.0,2014
DeAndre Daniels,3.85%,79.25,8' 10.5'',196.0,86.0,2014
Spencer Dinwiddie,5.35%,76.5,8' 7'',204.9,80.25,2014
Cleanthony Early,4.45%,78.0,8' 5.5'',209.4,82.75,2014
Melvin Ejim,6.45%,77.25,8' 7.5'',218.5,83.25,2014
Tyler Ennis,6.20%,73.0,8' 2'',181.5,79.25,2014
Dante Exum,6.40%,76.5,8' 7'',196.3,81.5,2014
C.J. Fair,5.05%,78.5,8' 8'',218.1,81.5,2014
Aaron Gordon,5.05%,79.5,8' 9'',220.1,83.75,2014
Jerami Grant,3.75%,78.5,8' 11'',214.0,86.75,2014
P.J. Hairston,8.20%,76.25,8' 5'',228.8,81.0,2014
Gary Harris,4.55%,74.5,8' 0'',204.8,78.75,2014
Joe Harris,6.20%,76.75,8' 4'',215.0,78.0,2014
Rodney Hood,7.45%,79.25,8' 7'',208.2,80.5,2014
Cory Jefferson,5.25%,79.75,8' 9'',218.4,84.5,2014
Nick Johnson,6.05%,73.5,8' 0.5'',198.0,79.25,2014
Sean Kilpatrick,9.20%,74.5,8' 3'',218.7,79.0,2014
Alex Kirk,13.60%,81.25,9' 1.5'',252.0,87.5,2014
Zach LaVine,4.70%,76.5,8' 4'',180.9,80.25,2014
Devyn Marble,6.90%,77.0,8' 6'',192.4,81.0,2014
James McAdoo,6.15%,79.5,8' 10.5'',227.6,86.25,2014
K.J. McDaniels,4.45%,76.5,8' 6'',195.6,83.25,2014
Doug McDermott,7.10%,78.25,8' 7'',218.0,81.25,2014
Jordan McRae,5.20%,75.75,8' 8'',179.4,84.5,2014
Shabazz Napier,7.35%,71.0,7' 9'',175.2,75.25,2014
Johnny O?Bryant,PF,120.0,8.5'' 8',9'',3088.6000000000004,2014
Lamar Patterson,10.75%,76.0,8' 5'',226.0,83.0,2014
Adreian Payne,7.55%,81.0,9' 1'',238.5,88.0,2014
Elfrid Payton,5.65%,74.5,8' 2.5'',185.4,80.0,2014
